Generation,FitnessScore,SolvationEnergy,Eisenberg,HelixPropensity
404,17.2892,7.0000,0.3445,1.0981
405,17.2892,7.0000,0.3445,1.0981
406,17.2892,7.0000,0.3445,1.0981
407,17.2892,7.0000,0.3445,1.0981
408,17.2892,7.0000,0.3445,1.0981
409,17.2892,7.0000,0.3445,1.0981
410,17.2892,7.0000,0.3445,1.0981
411,17.2892,7.0000,0.3445,1.0981
412,17.2892,7.0000,0.3445,1.0981
413,17.2892,7.0000,0.3445,1.0981
414,17.2892,7.0000,0.3445,1.0981
415,17.2892,7.0000,0.3445,1.0981
416,17.2892,7.0000,0.3445,1.0981
417,17.2892,7.0000,0.3445,1.0981
418,17.2892,7.0000,0.3445,1.0981
419,17.2892,7.0000,0.3445,1.0981
420,17.2892,7.0000,0.3445,1.0981
421,17.2892,7.0000,0.3445,1.0981
422,17.2892,7.0000,0.3445,1.0981
423,17.2892,7.0000,0.3445,1.0981
424,17.2892,7.0000,0.3445,1.0981
425,17.2892,7.0000,0.3445,1.0981
426,17.2892,7.0000,0.3445,1.0981
427,17.2892,7.0000,0.3445,1.0981
428,17.2892,7.0000,0.3445,1.0981
429,17.2892,7.0000,0.3445,1.0981
430,17.2892,7.0000,0.3445,1.0981
431,17.2892,7.0000,0.3445,1.0981
432,17.2892,7.0000,0.3445,1.0981
433,17.2892,7.0000,0.3445,1.0981
434,17.2892,7.0000,0.3445,1.0981
435,17.2892,7.0000,0.3445,1.0981
436,17.2892,7.0000,0.3445,1.0981
437,17.2892,7.0000,0.3445,1.0981
438,17.2892,7.0000,0.3445,1.0981
439,17.2892,7.0000,0.3445,1.0981
440,17.2892,7.0000,0.3445,1.0981
441,17.2892,7.0000,0.3445,1.0981
442,17.2892,7.0000,0.3445,1.0981
443,17.2892,7.0000,0.3445,1.0981
444,17.2892,7.0000,0.3445,1.0981
445,17.2892,7.0000,0.3445,1.0981
446,17.2892,7.0000,0.3445,1.0981
447,17.2892,7.0000,0.3445,1.0981
448,17.2892,7.0000,0.3445,1.0981
449,17.2892,7.0000,0.3445,1.0981
450,17.2892,7.0000,0.3445,1.0981
451,17.2892,7.0000,0.3445,1.0981
452,17.2892,7.0000,0.3445,1.0981
453,17.2892,7.0000,0.3445,1.0981
454,17.2892,7.0000,0.3445,1.0981
455,17.2892,7.0000,0.3445,1.0981
456,17.2892,7.0000,0.3445,1.0981
457,17.2892,7.0000,0.3445,1.0981
458,17.2892,7.0000,0.3445,1.0981
459,17.2892,7.0000,0.3445,1.0981
460,17.2892,7.0000,0.3445,1.0981
461,17.2892,7.0000,0.3445,1.0981
462,17.2892,7.0000,0.3445,1.0981
463,17.2892,7.0000,0.3445,1.0981
464,17.2892,7.0000,0.3445,1.0981
465,17.2892,7.0000,0.3445,1.0981
466,17.2892,7.0000,0.3445,1.0981
467,17.2892,7.0000,0.3445,1.0981
468,17.2892,7.0000,0.3445,1.0981
469,17.2892,7.0000,0.3445,1.0981
470,17.2892,7.0000,0.3445,1.0981
471,17.2892,7.0000,0.3445,1.0981
472,17.2892,7.0000,0.3445,1.0981
473,17.2892,7.0000,0.3445,1.0981
474,17.2892,7.0000,0.3445,1.0981
475,17.2892,7.0000,0.3445,1.0981
476,17.2892,7.0000,0.3445,1.0981
477,17.2892,7.0000,0.3445,1.0981
478,17.2892,7.0000,0.3445,1.0981
479,17.2892,7.0000,0.3445,1.0981
480,17.2892,7.0000,0.3445,1.0981
481,17.2892,7.0000,0.3445,1.0981
482,17.2892,7.0000,0.3445,1.0981
483,17.2892,7.0000,0.3445,1.0981
484,17.2892,7.0000,0.3445,1.0981
485,17.2892,7.0000,0.3445,1.0981
486,17.2892,7.0000,0.3445,1.0981
487,17.2892,7.0000,0.3445,1.0981
488,17.2892,7.0000,0.3445,1.0981
489,17.2892,7.0000,0.3445,1.0981
490,17.2892,7.0000,0.3445,1.0981
491,17.2892,7.0000,0.3445,1.0981
492,17.2892,7.0000,0.3445,1.0981
493,17.2892,7.0000,0.3445,1.0981
494,17.2892,7.0000,0.3445,1.0981
495,17.2892,7.0000,0.3445,1.0981
496,17.2892,7.0000,0.3445,1.0981
497,17.2892,7.0000,0.3445,1.0981
498,17.2892,7.0000,0.3445,1.0981
499,17.2892,7.0000,0.3445,1.0981
500,17.2892,7.0000,0.3445,1.0981
501,17.2892,7.0000,0.3445,1.0981
502,17.2892,7.0000,0.3445,1.0981
503,17.2892,7.0000,0.3445,1.0981
504,17.2892,7.0000,0.3445,1.0981
505,17.2892,7.0000,0.3445,1.0981
506,17.2892,7.0000,0.3445,1.0981
507,17.2892,7.0000,0.3445,1.0981
508,17.2892,7.0000,0.3445,1.0981
509,17.2892,7.0000,0.3445,1.0981
510,17.2892,7.0000,0.3445,1.0981
511,17.2892,7.0000,0.3445,1.0981
512,17.2892,7.0000,0.3445,1.0981
513,17.2892,7.0000,0.3445,1.0981
514,17.2892,7.0000,0.3445,1.0981
515,17.2892,7.0000,0.3445,1.0981
516,17.2892,7.0000,0.3445,1.0981
517,17.2892,7.0000,0.3445,1.0981
518,17.2892,7.0000,0.3445,1.0981
519,17.2892,7.0000,0.3445,1.0981
520,17.2892,7.0000,0.3445,1.0981
521,17.2892,7.0000,0.3445,1.0981
522,17.2892,7.0000,0.3445,1.0981
523,17.2892,7.0000,0.3445,1.0981
524,17.2892,7.0000,0.3445,1.0981
525,17.2892,7.0000,0.3445,1.0981
526,17.2892,7.0000,0.3445,1.0981
527,17.2892,7.0000,0.3445,1.0981
528,17.2892,7.0000,0.3445,1.0981
529,17.2892,7.0000,0.3445,1.0981
530,17.2892,7.0000,0.3445,1.0981
531,17.2892,7.0000,0.3445,1.0981
532,17.2892,7.0000,0.3445,1.0981
533,17.2892,7.0000,0.3445,1.0981
534,17.2892,7.0000,0.3445,1.0981
535,17.2892,7.0000,0.3445,1.0981
536,17.2892,7.0000,0.3445,1.0981
537,17.2892,7.0000,0.3445,1.0981
538,17.2892,7.0000,0.3445,1.0981
539,17.2892,7.0000,0.3445,1.0981
540,17.2892,7.0000,0.3445,1.0981
541,17.2892,7.0000,0.3445,1.0981
542,17.2892,7.0000,0.3445,1.0981
543,17.2892,7.0000,0.3445,1.0981
544,17.2892,7.0000,0.3445,1.0981
545,17.2892,7.0000,0.3445,1.0981
546,17.2892,7.0000,0.3445,1.0981
547,17.2892,7.0000,0.3445,1.0981
548,17.2892,7.0000,0.3445,1.0981
549,17.2892,7.0000,0.3445,1.0981
